length	num_GC	number_of_fragments
272	0	27740
272	1	25764
272	2	27862
272	3	36859
272	4	35014
272	5	40186
272	6	41179
272	7	45784
272	8	47643
272	9	49554
272	10	49761
272	11	54439
272	12	55166
272	13	54901
272	14	57743
272	15	55994
272	16	54269
272	17	55785
272	18	56765
272	19	58037
272	20	58244
272	21	59735
272	22	59450
272	23	61697
272	24	63942
272	25	62696
272	26	63986
272	27	65074
272	28	66810
272	29	70550
272	30	72767
272	31	77150
272	32	79910
272	33	81970
272	34	84427
272	35	87946
272	36	93654
272	37	97127
272	38	103525
272	39	109271
272	40	119123
272	41	127938
272	42	136913
272	43	149155
272	44	164025
272	45	185683
272	46	207648
272	47	232448
272	48	268447
272	49	313191
272	50	375353
272	51	449563
272	52	555606
272	53	684121
272	54	856391
272	55	1063641
272	56	1328481
272	57	1650624
272	58	2065059
272	59	2566875
272	60	3177373
272	61	3910870
272	62	4787953
272	63	5796705
272	64	6986004
272	65	8340577
272	66	9865231
272	67	11580756
272	68	13478321
272	69	15571640
272	70	17841173
272	71	20277623
272	72	22827348
272	73	25505901
272	74	28332741
272	75	31216834
272	76	34146276
272	77	37131761
272	78	40122495
272	79	43125178
272	80	46056780
272	81	48987163
272	82	51868347
272	83	54691250
272	84	57414058
272	85	60090969
272	86	62610436
272	87	65072187
272	88	67397116
272	89	69594314
272	90	71654806
272	91	73545655
272	92	75323215
272	93	76934791
272	94	78319213
272	95	79524151
272	96	80575131
272	97	81453966
272	98	82201637
272	99	82816932
272	100	83178653
272	101	83402169
272	102	83343034
272	103	82963854
272	104	82386372
272	105	81655164
272	106	80819952
272	107	79923780
272	108	78949276
272	109	77917702
272	110	76902169
272	111	75786929
272	112	74731968
272	113	73704878
272	114	72565390
272	115	71495762
272	116	70423779
272	117	69403703
272	118	68350828
272	119	67323727
272	120	66295954
272	121	65262231
272	122	64147274
272	123	62988642
272	124	61739750
272	125	60448180
272	126	59061237
272	127	57599140
272	128	56172744
272	129	54721159
272	130	53274484
272	131	51858468
272	132	50473523
272	133	49121139
272	134	47785329
272	135	46453602
272	136	45111528
272	137	43713280
272	138	42269473
272	139	40747268
272	140	39171911
272	141	37551233
272	142	35882149
272	143	34156508
272	144	32463539
272	145	30761707
272	146	29055896
272	147	27318641
272	148	25591963
272	149	23874992
272	150	22186040
272	151	20563987
272	152	19034824
272	153	17583372
272	154	16268134
272	155	15069245
272	156	13986491
272	157	13012896
272	158	12125414
272	159	11320610
272	160	10593439
272	161	9938632
272	162	9345804
272	163	8797983
272	164	8286935
272	165	7824792
272	166	7388750
272	167	6996185
272	168	6627342
272	169	6253065
272	170	5891048
272	171	5541398
272	172	5193066
272	173	4872260
272	174	4574347
272	175	4277208
272	176	3993253
272	177	3711850
272	178	3431708
272	179	3174690
272	180	2927860
272	181	2703582
272	182	2495481
272	183	2309769
272	184	2134812
272	185	1968360
272	186	1812778
272	187	1670459
272	188	1545913
272	189	1444724
272	190	1346289
272	191	1260186
272	192	1183356
272	193	1112961
272	194	1047918
272	195	989830
272	196	930301
272	197	879113
272	198	826837
272	199	782600
272	200	736792
272	201	696525
272	202	657970
272	203	617959
272	204	583803
272	205	550201
272	206	520454
272	207	496392
272	208	469467
272	209	444611
272	210	420266
272	211	394454
272	212	377391
272	213	361199
272	214	344229
272	215	328613
272	216	311500
272	217	293825
272	218	274038
272	219	248532
272	220	223744
272	221	197794
272	222	172394
272	223	149510
272	224	127749
272	225	107743
272	226	91292
272	227	79439
272	228	67283
272	229	57663
272	230	48429
272	231	41345
272	232	33712
272	233	28914
272	234	23596
272	235	19399
272	236	16434
272	237	13091
272	238	9616
272	239	7357
272	240	5656
272	241	5025
272	242	3545
272	243	2572
272	244	1883
272	245	1638
272	246	1293
272	247	955
272	248	1122
272	249	789
272	250	611
272	251	408
272	252	484
272	253	287
272	254	292
272	255	308
272	256	136
272	257	97
272	258	107
272	259	18
272	260	48
272	261	19
272	262	64
272	263	20
272	264	0
272	265	0
272	266	0
272	267	0
272	268	0
272	269	0
272	270	0
272	271	0
272	272	0
