length	num_GC	number_of_fragments
171	0	9870
171	1	10612
171	2	12766
171	3	14374
171	4	14785
171	5	17218
171	6	19673
171	7	21998
171	8	24647
171	9	26534
171	10	28203
171	11	27506
171	12	29934
171	13	32303
171	14	35682
171	15	40436
171	16	44489
171	17	50474
171	18	55217
171	19	62471
171	20	71006
171	21	82118
171	22	93269
171	23	107978
171	24	129312
171	25	159887
171	26	199404
171	27	253990
171	28	330210
171	29	433728
171	30	576610
171	31	769378
171	32	1032213
171	33	1377665
171	34	1835359
171	35	2429243
171	36	3156096
171	37	4063779
171	38	5160437
171	39	6460933
171	40	7983906
171	41	9718765
171	42	11660728
171	43	13767159
171	44	16043192
171	45	18466613
171	46	21008456
171	47	23608414
171	48	26202940
171	49	28757658
171	50	31268442
171	51	33668124
171	52	35916750
171	53	37995967
171	54	39891748
171	55	41617582
171	56	43103569
171	57	44354840
171	58	45387207
171	59	46218841
171	60	46790648
171	61	47122491
171	62	47242311
171	63	47147076
171	64	46879950
171	65	46448600
171	66	45871734
171	67	45141771
171	68	44342256
171	69	43451187
171	70	42490035
171	71	41465113
171	72	40406837
171	73	39332000
171	74	38231404
171	75	37131785
171	76	36025993
171	77	34898451
171	78	33796715
171	79	32669368
171	80	31546378
171	81	30393132
171	82	29217788
171	83	28035364
171	84	26808686
171	85	25561296
171	86	24278612
171	87	22991253
171	88	21677158
171	89	20353484
171	90	19025328
171	91	17710705
171	92	16451878
171	93	15254350
171	94	14170576
171	95	13149949
171	96	12227806
171	97	11381843
171	98	10614234
171	99	9928589
171	100	9283392
171	101	8679481
171	102	8114277
171	103	7592058
171	104	7082524
171	105	6599111
171	106	6135349
171	107	5662995
171	108	5210637
171	109	4777149
171	110	4352347
171	111	3936192
171	112	3537725
171	113	3161393
171	114	2796985
171	115	2466410
171	116	2171424
171	117	1899356
171	118	1653296
171	119	1448802
171	120	1276450
171	121	1128083
171	122	1002565
171	123	902994
171	124	818789
171	125	746455
171	126	686623
171	127	637904
171	128	589118
171	129	552669
171	130	516601
171	131	482565
171	132	444506
171	133	414467
171	134	383811
171	135	349003
171	136	316909
171	137	286527
171	138	253817
171	139	224472
171	140	194784
171	141	166863
171	142	141110
171	143	117180
171	144	96862
171	145	78515
171	146	62081
171	147	49070
171	148	37246
171	149	28120
171	150	21183
171	151	16243
171	152	11470
171	153	8106
171	154	5326
171	155	3981
171	156	2705
171	157	1807
171	158	1263
171	159	865
171	160	511
171	161	258
171	162	179
171	163	89
171	164	52
171	165	28
171	166	14
171	167	7
171	168	18
171	169	37
171	170	14
171	171	6
