length	num_GC	number_of_fragments
468	0	3170
468	1	4438
468	2	6546
468	3	8359
468	4	8240
468	5	8740
468	6	10061
468	7	10312
468	8	11083
468	9	13639
468	10	15620
468	11	15104
468	12	15570
468	13	19288
468	14	18251
468	15	19312
468	16	19400
468	17	20951
468	18	22029
468	19	21535
468	20	21872
468	21	21254
468	22	22378
468	23	21529
468	24	22880
468	25	22074
468	26	22270
468	27	21588
468	28	22581
468	29	22549
468	30	22244
468	31	22460
468	32	21467
468	33	23226
468	34	23962
468	35	24124
468	36	24447
468	37	23417
468	38	23967
468	39	24913
468	40	24891
468	41	27214
468	42	26946
468	43	26362
468	44	25211
468	45	26216
468	46	26704
468	47	27534
468	48	28003
468	49	29293
468	50	30044
468	51	29310
468	52	28606
468	53	29574
468	54	30312
468	55	29528
468	56	30928
468	57	31378
468	58	32040
468	59	33082
468	60	34917
468	61	35853
468	62	35097
468	63	35096
468	64	37506
468	65	38277
468	66	39775
468	67	40299
468	68	40645
468	69	41568
468	70	43503
468	71	44471
468	72	46256
468	73	46611
468	74	50181
468	75	52951
468	76	53735
468	77	55231
468	78	56778
468	79	60248
468	80	61709
468	81	65260
468	82	67132
468	83	71117
468	84	75094
468	85	79329
468	86	82244
468	87	89368
468	88	93914
468	89	100728
468	90	109629
468	91	121946
468	92	134162
468	93	148631
468	94	165832
468	95	187512
468	96	216182
468	97	246489
468	98	279813
468	99	323471
468	100	374654
468	101	437964
468	102	511087
468	103	597749
468	104	692434
468	105	808687
468	106	939179
468	107	1090943
468	108	1273762
468	109	1471361
468	110	1700829
468	111	1954939
468	112	2242497
468	113	2571242
468	114	2927472
468	115	3321150
468	116	3760861
468	117	4244604
468	118	4764565
468	119	5342072
468	120	5959453
468	121	6632923
468	122	7360445
468	123	8142242
468	124	8935100
468	125	9792367
468	126	10681296
468	127	11634860
468	128	12612822
468	129	13632003
468	130	14667934
468	131	15750152
468	132	16860328
468	133	17992880
468	134	19159638
468	135	20343513
468	136	21521694
468	137	22749910
468	138	23915321
468	139	25105120
468	140	26297579
468	141	27516856
468	142	28692172
468	143	29874460
468	144	31075225
468	145	32219838
468	146	33330032
468	147	34469458
468	148	35532301
468	149	36617029
468	150	37701977
468	151	38746115
468	152	39736261
468	153	40733697
468	154	41677854
468	155	42603195
468	156	43487770
468	157	44336617
468	158	45167725
468	159	45979320
468	160	46744380
468	161	47406907
468	162	48084039
468	163	48705826
468	164	49335138
468	165	49875147
468	166	50369229
468	167	50799627
468	168	51195450
468	169	51573980
468	170	51930267
468	171	52246957
468	172	52461981
468	173	52643044
468	174	52785191
468	175	52885907
468	176	52942485
468	177	52962749
468	178	52945192
468	179	52880310
468	180	52791771
468	181	52694232
468	182	52512034
468	183	52296868
468	184	52037853
468	185	51719542
468	186	51351163
468	187	50933166
468	188	50510144
468	189	50074198
468	190	49692835
468	191	49331378
468	192	49003361
468	193	48767828
468	194	48526448
468	195	48322832
468	196	48124083
468	197	47927742
468	198	47677577
468	199	47452594
468	200	47164733
468	201	46830297
468	202	46458843
468	203	46052955
468	204	45612543
468	205	45173736
468	206	44689479
468	207	44174616
468	208	43630387
468	209	43093814
468	210	42527364
468	211	41910074
468	212	41238777
468	213	40559060
468	214	39854479
468	215	39101413
468	216	38342433
468	217	37562231
468	218	36771084
468	219	35954031
468	220	35144508
468	221	34333559
468	222	33529212
468	223	32696620
468	224	31888330
468	225	31093827
468	226	30291293
468	227	29506796
468	228	28705815
468	229	27950799
468	230	27188600
468	231	26428622
468	232	25652018
468	233	24898532
468	234	24167301
468	235	23415533
468	236	22691200
468	237	21951316
468	238	21193076
468	239	20471386
468	240	19752460
468	241	19021218
468	242	18350193
468	243	17663049
468	244	16986284
468	245	16340758
468	246	15687561
468	247	15041351
468	248	14420668
468	249	13865923
468	250	13346778
468	251	12800840
468	252	12297591
468	253	11811985
468	254	11350297
468	255	10902350
468	256	10487759
468	257	10098023
468	258	9717485
468	259	9349086
468	260	8995215
468	261	8655451
468	262	8330113
468	263	8034822
468	264	7726014
468	265	7434920
468	266	7166658
468	267	6901928
468	268	6675870
468	269	6444748
468	270	6209696
468	271	5999608
468	272	5801811
468	273	5618176
468	274	5440072
468	275	5264497
468	276	5099096
468	277	4948875
468	278	4799826
468	279	4654892
468	280	4501080
468	281	4345886
468	282	4215423
468	283	4076663
468	284	3942889
468	285	3812162
468	286	3696036
468	287	3579340
468	288	3463984
468	289	3359293
468	290	3246929
468	291	3141345
468	292	3039617
468	293	2925605
468	294	2824597
468	295	2721771
468	296	2625642
468	297	2526833
468	298	2443991
468	299	2355555
468	300	2261170
468	301	2163188
468	302	2072665
468	303	1982035
468	304	1891655
468	305	1803345
468	306	1729610
468	307	1656579
468	308	1581053
468	309	1509959
468	310	1436333
468	311	1363780
468	312	1298323
468	313	1234662
468	314	1176718
468	315	1124526
468	316	1066967
468	317	1017422
468	318	967274
468	319	915927
468	320	871936
468	321	828661
468	322	792270
468	323	765959
468	324	741122
468	325	715130
468	326	689161
468	327	661423
468	328	636385
468	329	616769
468	330	592904
468	331	574996
468	332	546819
468	333	526003
468	334	511093
468	335	495550
468	336	477802
468	337	465966
468	338	450110
468	339	432553
468	340	422082
468	341	405761
468	342	387931
468	343	374472
468	344	358405
468	345	347638
468	346	339404
468	347	328499
468	348	319454
468	349	309339
468	350	299296
468	351	287894
468	352	276923
468	353	268411
468	354	261257
468	355	254821
468	356	246737
468	357	237802
468	358	227876
468	359	219766
468	360	211450
468	361	199549
468	362	190062
468	363	182218
468	364	176824
468	365	169611
468	366	162659
468	367	155318
468	368	148897
468	369	141940
468	370	138602
468	371	134384
468	372	130291
468	373	123337
468	374	116417
468	375	111097
468	376	104964
468	377	99149
468	378	90542
468	379	83383
468	380	73755
468	381	66554
468	382	59067
468	383	52844
468	384	47718
468	385	42179
468	386	37644
468	387	34219
468	388	32451
468	389	30202
468	390	27496
468	391	23722
468	392	20921
468	393	17463
468	394	16442
468	395	14349
468	396	12911
468	397	11474
468	398	9248
468	399	8429
468	400	6948
468	401	6107
468	402	5066
468	403	4528
468	404	3517
468	405	3026
468	406	2472
468	407	2260
468	408	1512
468	409	1184
468	410	987
468	411	806
468	412	946
468	413	790
468	414	592
468	415	661
468	416	469
468	417	285
468	418	448
468	419	407
468	420	309
468	421	269
468	422	117
468	423	90
468	424	15
468	425	22
468	426	27
468	427	47
468	428	63
468	429	79
468	430	127
468	431	107
468	432	281
468	433	179
468	434	153
468	435	97
468	436	46
468	437	38
468	438	105
468	439	141
468	440	32
468	441	8
468	442	0
468	443	0
468	444	0
468	445	0
468	446	0
468	447	0
468	448	0
468	449	0
468	450	0
468	451	0
468	452	0
468	453	0
468	454	0
468	455	0
468	456	0
468	457	0
468	458	0
468	459	0
468	460	0
468	461	0
468	462	0
468	463	0
468	464	0
468	465	0
468	466	0
468	467	0
468	468	0
