Chrom	Start	End	uniprotId	Gene	exp.count	peak.count
chr12	82358754	82358791	P49711	CTCF	541	3138
chr5	142713384	142713423	P49711	CTCF	539	2928
chr3	98039635	98039672	P49711	CTCF	537	2800
chr14	22557235	22557269	P49711	CTCF	540	2787
chr16	2340896	2340927	P49711	CTCF	536	2766
chr22	30256115	30256151	P49711	CTCF	538	2759
chr17	50200758	50200791	P49711	CTCF	540	2715
chr1	84945076	84945113	P49711	CTCF	537	2693
chr8	15378481	15378518	P49711	CTCF	527	2682
chr4	75573608	75573643	P49711	CTCF	536	2673
chr6	132279786	132279820	P49711	CTCF	535	2649
chr1	209747850	209747886	P49711	CTCF	533	2638
chr9	129642282	129642315	P49711	CTCF	531	2619
chr11	128157968	128158005	P49711	CTCF	527	2614
chr3	126982648	126982689	P49711	CTCF	525	2600
chr1	84620996	84621030	P49711	CTCF	535	2600
chr3	128617787	128617822	P49711	CTCF	533	2587
chr19	35269754	35269789	P49711	CTCF	518	2587
chr2	170928983	170929017	P49711	CTCF	539	2580
chr9	101449313	101449352	P49711	CTCF	507	2580
chr20	58650829	58650874	P49711	CTCF	527	2558
chr17	44779272	44779307	P49711	CTCF	532	2546
chr11	116276720	116276757	P49711	CTCF	531	2540
chr2	219541790	219541825	P49711	CTCF	532	2522
chr20	32031559	32031591	P49711	CTCF	535	2501
chr1	212035257	212035291	P49711	CTCF	538	2499
chr17	28903130	28903161	P49711	CTCF	539	2470
chr3	156674211	156674248	P49711	CTCF	525	2452
chr10	6088853	6088879	P49711	CTCF	543	2421
chr11	34359434	34359475	P49711	CTCF	537	2399
chr7	141738196	141738239	P49711	CTCF	537	2396
chr5	138464251	138464292	P49711	CTCF	534	2394
chr6	2952745	2952776	P49711	CTCF	531	2391
chr11	95151636	95151663	P49711	CTCF	536	2387
chr11	66694847	66694876	P49711	CTCF	540	2386
chr19	13880278	13880307	P49711	CTCF	542	2386
chr8	22574537	22574562	P49711	CTCF	542	2385
chr4	25312662	25312691	P49711	CTCF	538	2384
chr1	204807300	204807337	P49711	CTCF	540	2384
chr7	100483394	100483427	P49711	CTCF	528	2375
chr20	62791624	62791651	P49711	CTCF	542	2374
chr8	142669644	142669692	P49711	CTCF	516	2373
chr1	34852843	34852870	P49711	CTCF	540	2368
chr12	54214901	54214930	P49711	CTCF	538	2360
chr8	9831127	9831156	P49711	CTCF	531	2351
chr19	921842	921872	P49711	CTCF	528	2348
chr1	156660127	156660156	P49711	CTCF	536	2343
chr17	78251057	78251084	P49711	CTCF	540	2342
chr19	35717062	35717095	P49711	CTCF	534	2341
chr19	41706921	41706954	P49711	CTCF	527	2340
chr5	52915535	52915572	P49711	CTCF	532	2340
chr19	45817303	45817330	P49711	CTCF	541	2339
chr19	3104241	3104272	P49711	CTCF	525	2337
chr14	74612691	74612724	P49711	CTCF	517	2334
chr1	181425082	181425109	P49711	CTCF	539	2330
chr1	109263756	109263787	P49711	CTCF	541	2328
chr14	67526805	67526840	P49711	CTCF	527	2328
chr13	99437043	99437072	P49711	CTCF	544	2322
chr1	185170560	185170597	P49711	CTCF	525	2318
chr10	104291575	104291601	P49711	CTCF	543	2317
chr11	64688566	64688607	P49711	CTCF	540	2316
chr7	151172719	151172744	P49711	CTCF	543	2314
chr12	77925742	77925775	P49711	CTCF	527	2309
chr13	40777427	40777464	P49711	CTCF	521	2307
chr5	141524905	141524936	P49711	CTCF	543	2304
chr15	89416469	89416498	P49711	CTCF	529	2303
chr17	41662846	41662873	P49711	CTCF	546	2300
chr19	50556713	50556748	P49711	CTCF	524	2300
chr5	132526891	132526926	P49711	CTCF	534	2298
chr14	23069051	23069082	P49711	CTCF	540	2297
chr2	30711776	30711803	P49711	CTCF	541	2297
chr9	130866580	130866609	P49711	CTCF	536	2295
chr11	76920041	76920077	P49711	CTCF	533	2294
chr3	46078983	46079014	P49711	CTCF	538	2293
chr7	134432814	134432851	P49711	CTCF	529	2292
chr15	40368213	40368250	P49711	CTCF	511	2290
chr17	49570194	49570221	P49711	CTCF	533	2289
chr12	49342606	49342637	P49711	CTCF	532	2284
chr7	151783047	151783082	P49711	CTCF	532	2282
chr19	33778173	33778198	P49711	CTCF	542	2280
chr1	186375534	186375563	P49711	CTCF	538	2279
chr17	43760557	43760582	P49711	CTCF	540	2275
chr3	45037866	45037891	P49711	CTCF	538	2275
chr14	70817849	70817876	P49711	CTCF	542	2274
chr12	53746799	53746824	P49711	CTCF	541	2274
chr14	106309070	106309104	P49711	CTCF	498	2271
chr5	2038737	2038772	P49711	CTCF	511	2269
chr5	141564342	141564371	P49711	CTCF	536	2269
chr1	46442763	46442806	P49711	CTCF	528	2267
chr11	10735953	10735982	P49711	CTCF	538	2263
chr20	46014096	46014139	P49711	CTCF	530	2262
chr6	109705361	109705386	P49711	CTCF	541	2262
chr16	85420878	85420905	P49711	CTCF	538	2261
chr16	77236209	77236234	P49711	CTCF	541	2258
chr14	104078129	104078154	P49711	CTCF	543	2256
chr11	66408593	66408624	P49711	CTCF	542	2253
chr11	77127306	77127339	P49711	CTCF	538	2251
chr2	238256732	238256759	P49711	CTCF	532	2251
chr9	121320245	121320270	P49711	CTCF	542	2250
chr17	34361656	34361683	P49711	CTCF	537	2250
chr6	27792416	27792453	P49711	CTCF	525	2246
chr10	75236084	75236109	P49711	CTCF	541	2246
chr15	79596215	79596241	P49711	CTCF	535	2246
chr1	114346675	114346700	P49711	CTCF	541	2245
chr19	5804165	5804192	P49711	CTCF	534	2241
chr3	141192442	141192467	P49711	CTCF	540	2238
chr20	50929546	50929573	P49711	CTCF	538	2236
chr14	23120960	23120985	P49711	CTCF	544	2236
chr6	41369046	41369075	P49711	CTCF	541	2233
chr22	43231387	43231424	P49711	CTCF	532	2233
chr18	47749311	47749338	P49711	CTCF	532	2232
chr17	5439243	5439270	P49711	CTCF	538	2231
chr9	35604044	35604081	P49711	CTCF	533	2229
chr10	30359847	30359884	P49711	CTCF	529	2228
chr12	112992975	112993002	P49711	CTCF	535	2228
chr19	34501707	34501734	P49711	CTCF	537	2228
chr14	90399709	90399734	P49711	CTCF	542	2226
chr17	81101886	81101913	P49711	CTCF	538	2226
chr10	64041358	64041383	P49711	CTCF	539	2223
chr9	128117787	128117812	P49711	CTCF	546	2222
chr12	12704796	12704823	P49711	CTCF	533	2222
chr12	107092240	107092273	P49711	CTCF	529	2218
chr16	55465257	55465282	P49711	CTCF	544	2216
